Brooklyn Nets	104	Orlando Magic	96
Utah Jazz	97	Detroit Pistons	96
Oklahoma City Thunder	101	Sacramento Kings	93
Toronto Raptors	120	Philadelphia 76ers	88
Miami Heat	105	Dallas Mavericks	96
Phoenix Suns	107	Golden State Warriors	95
Portland Trail Blazers	116	Denver Nuggets	100
Los Angeles Lakers	107	Charlotte Hornets	92
Cleveland Cavaliers	118	New Orleans Pelicans	111
Indiana Pacers	97	Utah Jazz	86
Atlanta Hawks	91	New York Knicks	85
Chicago Bulls	102	Detroit Pistons	91
San Antonio Spurs	89	Los Angeles Clippers	85
Toronto Raptors	104	Orlando Magic	100
Memphis Grizzlies	107	Los Angeles Lakers	102
Milwaukee Bucks	85	Oklahoma City Thunder	78
Dallas Mavericks	106	Sacramento Kings	98
Portland Trail Blazers	102	Charlotte Hornets	100
San Antonio Spurs	113	Golden State Warriors	100
Washington Wizards	107	Detroit Pistons	103
Atlanta Hawks	100	Utah Jazz	97
Oklahoma City Thunder	109	Boston Celtics	94
Indiana Pacers	81	Miami Heat	75
Orlando Magic	97	New York Knicks	95
New Orleans Pelicans	109	Los Angeles Lakers	102
Portland Trail Blazers	130	Denver Nuggets	113
Phoenix Suns	112	Brooklyn Nets	104
Houston Rockets	113	Minnesota Timberwolves	101
Memphis Grizzlies	111	Sacramento Kings	110
Chicago Bulls	100	Toronto Raptors	93
Dallas Mavericks	123	Philadelphia 76ers	70
Golden State Warriors	107	Brooklyn Nets	99
Denver Nuggets	108	Indiana Pacers	87
Orlando Magic	101	Milwaukee Bucks	85
Atlanta Hawks	114	Miami Heat	103
Cleveland Cavaliers	122	Boston Celtics	121
Utah Jazz	102	New York Knicks	100
Houston Rockets	88	Philadelphia 76ers	87
New Orleans Pelicans	139	Minnesota Timberwolves	91
Detroit Pistons	96	Oklahoma City Thunder	89
Charlotte Hornets	103	Phoenix Suns	95
San Antonio Spurs	93	Los Angeles Lakers	80
Washington Wizards	98	Orlando Magic	93
Cleveland Cavaliers	127	Atlanta Hawks	94
Toronto Raptors	111	Utah Jazz	93
Indiana Pacers	99	Chicago Bulls	90
Memphis Grizzlies	95	Detroit Pistons	88
Dallas Mavericks	131	Minnesota Timberwolves	117
Portland Trail Blazers	97	Brooklyn Nets	87
Sacramento Kings	94	San Antonio Spurs	91
Golden State Warriors	112	Charlotte Hornets	87
Los Angeles Clippers	120	Phoenix Suns	107
New York Knicks	109	Denver Nuggets	93
Milwaukee Bucks	91	Miami Heat	84
Houston Rockets	69	Oklahoma City Thunder	65
Golden State Warriors	136	Los Angeles Lakers	115
Dallas Mavericks	107	Charlotte Hornets	80
Denver Nuggets	106	Cleveland Cavaliers	97
Phoenix Suns	118	Boston Celtics	114
Miami Heat	95	Brooklyn Nets	83
Orlando Magic	107	Detroit Pistons	93
Memphis Grizzlies	119	Houston Rockets	93
San Antonio Spurs	100	Philadelphia 76ers	75
Portland Trail Blazers	102	New Orleans Pelicans	93
Chicago Bulls	105	Los Angeles Clippers	89
Los Angeles Lakers	114	Atlanta Hawks	109
Milwaukee Bucks	117	New York Knicks	113
Utah Jazz	98	Oklahoma City Thunder	81
New Orleans Pelicans	106	Sacramento Kings	100
San Antonio Spurs	92	Cleveland Cavaliers	90
Indiana Pacers	88	Charlotte Hornets	86
Los Angeles Clippers	114	Orlando Magic	90
Boston Celtics	101	Philadelphia 76ers	90
Dallas Mavericks	105	Washington Wizards	102
Milwaukee Bucks	122	Brooklyn Nets	118
Phoenix Suns	88	Detroit Pistons	86
Toronto Raptors	96	Memphis Grizzlies	92
Minnesota Timberwolves	115	New York Knicks	99
Denver Nuggets	107	Oklahoma City Thunder	100
Los Angeles Lakers	98	Houston Rockets	92
Los Angeles Clippers	110	Miami Heat	93
Sacramento Kings	103	Chicago Bulls	88
Orlando Magic	105	Charlotte Hornets	100
Phoenix Suns	122	Philadelphia 76ers	96
Atlanta Hawks	99	Detroit Pistons	89
Toronto Raptors	124	Milwaukee Bucks	82
Memphis Grizzlies	117	Boston Celtics	100
San Antonio Spurs	121	Minnesota Timberwolves	92
Brooklyn Nets	94	Oklahoma City Thunder	92
Washington Wizards	91	Cleveland Cavaliers	78
Dallas Mavericks	140	Los Angeles Lakers	106
Denver Nuggets	117	New Orleans Pelicans	97
Golden State Warriors	101	Utah Jazz	88
Portland Trail Blazers	105	Chicago Bulls	87
Phoenix Suns	106	Indiana Pacers	83
Miami Heat	99	Orlando Magic	92
Toronto Raptors	110	Cleveland Cavaliers	93
New York Knicks	91	Philadelphia 76ers	83
Houston Rockets	95	Dallas Mavericks	92
Sacramento Kings	113	Minnesota Timberwolves	101
Washington Wizards	111	Milwaukee Bucks	100
San Antonio Spurs	99	Brooklyn Nets	87
New Orleans Pelicans	106	Utah Jazz	94
Memphis Grizzlies	107	Los Angeles Clippers	91
Portland Trail Blazers	94	Boston Celtics	88
Miami Heat	94	Charlotte Hornets	93
Golden State Warriors	91	Oklahoma City Thunder	86
Denver Nuggets	101	Los Angeles Lakers	94
Los Angeles Clippers	113	Charlotte Hornets	92
Cleveland Cavaliers	106	Orlando Magic	74
Portland Trail Blazers	114	Philadelphia 76ers	104
Toronto Raptors	104	Phoenix Suns	100
Houston Rockets	91	New York Knicks	86
Indiana Pacers	111	Dallas Mavericks	100
Chicago Bulls	97	Utah Jazz	95
Atlanta Hawks	106	Washington Wizards	102
Golden State Warriors	114	Miami Heat	97
Milwaukee Bucks	98	Detroit Pistons	86
Sacramento Kings	99	New Orleans Pelicans	89
Denver Nuggets	114	Chicago Bulls	109
Portland Trail Blazers	105	Charlotte Hornets	97
Cleveland Cavaliers	113	Washington Wizards	87
Golden State Warriors	111	Orlando Magic	96
Brooklyn Nets	99	Philadelphia 76ers	91
Dallas Mavericks	109	New York Knicks	102
Toronto Raptors	126	Atlanta Hawks	115
Los Angeles Clippers	104	Detroit Pistons	98
Houston Rockets	102	Sacramento Kings	89
Milwaukee Bucks	103	Minnesota Timberwolves	86
Oklahoma City Thunder	97	Utah Jazz	82
San Antonio Spurs	106	Indiana Pacers	100
Phoenix Suns	120	Denver Nuggets	112
Memphis Grizzlies	99	Los Angeles Lakers	93
Chicago Bulls	109	Boston Celtics	102
Golden State Warriors	106	Charlotte Hornets	101
Atlanta Hawks	100	New Orleans Pelicans	91
Milwaukee Bucks	104	Detroit Pistons	88
Dallas Mavericks	106	Toronto Raptors	102
Los Angeles Clippers	102	Houston Rockets	85
Oklahoma City Thunder	105	New York Knicks	78
Indiana Pacers	98	Orlando Magic	83
San Antonio Spurs	112	Sacramento Kings	104
Denver Nuggets	122	Phoenix Suns	97
Memphis Grizzlies	112	Portland Trail Blazers	99
Minnesota Timberwolves	120	Los Angeles Lakers	119
Dallas Mavericks	110	Philadelphia 76ers	103
Washington Wizards	83	New Orleans Pelicans	80
Atlanta Hawks	105	Charlotte Hornets	75
Cleveland Cavaliers	109	Indiana Pacers	97
Los Angeles Clippers	112	Utah Jazz	96
Houston Rockets	117	Milwaukee Bucks	103
San Antonio Spurs	111	Boston Celtics	89
Chicago Bulls	102	Brooklyn Nets	84
Golden State Warriors	104	Detroit Pistons	93
Memphis Grizzlies	97	Sacramento Kings	85
Miami Heat	86	New York Knicks	79
Orlando Magic	93	Phoenix Suns	90
Portland Trail Blazers	107	Minnesota Timberwolves	93
Los Angeles Lakers	129	Toronto Raptors	122
San Antonio Spurs	109	Philadelphia 76ers	103
Washington Wizards	107	Miami Heat	86
Denver Nuggets	103	Utah Jazz	101
Los Angeles Clippers	127	Minnesota Timberwolves	101
Cleveland Cavaliers	111	Milwaukee Bucks	108
Atlanta Hawks	109	Boston Celtics	105
Los Angeles Lakers	106	Detroit Pistons	96
Brooklyn Nets	98	New York Knicks	93
Dallas Mavericks	132	Chicago Bulls	129
New Orleans Pelicans	112	Oklahoma City Thunder	104
Portland Trail Blazers	105	Denver Nuggets	103
Phoenix Suns	116	Indiana Pacers	99
Toronto Raptors	117	Sacramento Kings	109
Golden State Warriors	98	Orlando Magic	97
Chicago Bulls	102	Charlotte Hornets	95
Washington Wizards	111	Los Angeles Lakers	95
Boston Celtics	109	Detroit Pistons	102
Brooklyn Nets	95	San Antonio Spurs	93
Atlanta Hawks	112	Miami Heat	102
Houston Rockets	105	Memphis Grizzlies	96
Dallas Mavericks	107	Milwaukee Bucks	105
Philadelphia 76ers	85	Minnesota Timberwolves	77
Toronto Raptors	123	Utah Jazz	104
Los Angeles Clippers	114	Orlando Magic	86
Cleveland Cavaliers	90	New York Knicks	87
Portland Trail Blazers	88	Indiana Pacers	82
Golden State Warriors	112	New Orleans Pelicans	85
Charlotte Hornets	103	New York Knicks	102
Oklahoma City Thunder	103	Philadelphia 76ers	91
Washington Wizards	119	Denver Nuggets	89
Boston Celtics	113	Los Angeles Lakers	96
Atlanta Hawks	98	Brooklyn Nets	75
Cleveland Cavaliers	105	Toronto Raptors	91
San Antonio Spurs	107	Memphis Grizzlies	101
Houston Rockets	114	Minnesota Timberwolves	112
Phoenix Suns	118	Dallas Mavericks	106
Milwaukee Bucks	109	Miami Heat	85
Orlando Magic	98	Utah Jazz	93
Sacramento Kings	102	Indiana Pacers	101
Philadelphia 76ers	108	Detroit Pistons	101
Golden State Warriors	112	Chicago Bulls	102
Houston Rockets	100	Phoenix Suns	95
San Antonio Spurs	123	Minnesota Timberwolves	101
Orlando Magic	105	Sacramento Kings	96
Los Angeles Clippers	120	New Orleans Pelicans	100
Boston Celtics	101	Washington Wizards	93
Atlanta Hawks	96	Denver Nuggets	84
Memphis Grizzlies	103	Miami Heat	87
Oklahoma City Thunder	96	Detroit Pistons	94
Dallas Mavericks	125	Milwaukee Bucks	102
Portland Trail Blazers	103	New York Knicks	99
New Orleans Pelicans	104	Los Angeles Lakers	87
Atlanta Hawks	108	Indiana Pacers	92
Washington Wizards	133	Boston Celtics	132
Cleveland Cavaliers	110	Brooklyn Nets	88
Toronto Raptors	112	Denver Nuggets	107
Golden State Warriors	102	Minnesota Timberwolves	86
Sacramento Kings	101	Utah Jazz	92
Los Angeles Clippers	121	Phoenix Suns	120
Cleveland Cavaliers	105	Toronto Raptors	101
Portland Trail Blazers	98	Detroit Pistons	86
Memphis Grizzlies	114	Dallas Mavericks	105
New Orleans Pelicans	104	New York Knicks	93
Oklahoma City Thunder	114	Milwaukee Bucks	101
Miami Heat	103	Phoenix Suns	97
Utah Jazz	100	San Antonio Spurs	96
Los Angeles Lakers	98	Sacramento Kings	95
Charlotte Hornets	96	Boston Celtics	87
Los Angeles Clippers	103	Indiana Pacers	96
Washington Wizards	91	Orlando Magic	89
Atlanta Hawks	95	Philadelphia 76ers	79
Chicago Bulls	105	Brooklyn Nets	80
Minnesota Timberwolves	90	Portland Trail Blazers	82
San Antonio Spurs	109	New York Knicks	95
Dallas Mavericks	112	New Orleans Pelicans	107
Golden State Warriors	105	Houston Rockets	93
Denver Nuggets	102	Miami Heat	82
Oklahoma City Thunder	103	Cleveland Cavaliers	94
Houston Rockets	113	Sacramento Kings	109
Chicago Bulls	115	Portland Trail Blazers	106
Washington Wizards	104	Los Angeles Clippers	96
Atlanta Hawks	87	Orlando Magic	81
New York Knicks	101	Boston Celtics	95
Brooklyn Nets	88	Philadelphia 76ers	70
Toronto Raptors	106	Indiana Pacers	94
Memphis Grizzlies	113	Charlotte Hornets	107
Oklahoma City Thunder	111	Minnesota Timberwolves	92
New Orleans Pelicans	119	Cleveland Cavaliers	114
Detroit Pistons	105	Phoenix Suns	103
Miami Heat	100	Utah Jazz	95
Los Angeles Lakers	112	San Antonio Spurs	110
Golden State Warriors	105	Dallas Mavericks	98
Brooklyn Nets	114	Charlotte Hornets	87
Portland Trail Blazers	95	Indiana Pacers	85
Orlando Magic	100	Atlanta Hawks	99
Milwaukee Bucks	111	Los Angeles Clippers	106
Memphis Grizzlies	120	Philadelphia 76ers	115
Houston Rockets	108	Denver Nuggets	96
Detroit Pistons	95	Sacramento Kings	90
Golden State Warriors	128	New Orleans Pelicans	122
Chicago Bulls	93	Miami Heat	75
Washington Wizards	93	Utah Jazz	84
Los Angeles Lakers	100	Minnesota Timberwolves	94
Oklahoma City Thunder	112	Phoenix Suns	88
Toronto Raptors	95	New York Knicks	90
San Antonio Spurs	99	Denver Nuggets	91
Cleveland Cavaliers	97	Charlotte Hornets	88
Indiana Pacers	110	Los Angeles Lakers	91
Boston Celtics	105	Philadelphia 76ers	87
Atlanta Hawks	93	Chicago Bulls	86
Toronto Raptors	95	Orlando Magic	82
Milwaukee Bucks	96	Phoenix Suns	94
Portland Trail Blazers	108	San Antonio Spurs	95
Los Angeles Clippers	113	Detroit Pistons	91
Washington Wizards	109	Minnesota Timberwolves	95
Miami Heat	95	Brooklyn Nets	91
Memphis Grizzlies	105	Golden State Warriors	98
New Orleans Pelicans	119	Utah Jazz	111
Dallas Mavericks	107	New York Knicks	87
Oklahoma City Thunder	104	Sacramento Kings	92
Phoenix Suns	111	Charlotte Hornets	106
Atlanta Hawks	127	Cleveland Cavaliers	98
Boston Celtics	109	Orlando Magic	92
Dallas Mavericks	117	Detroit Pistons	106
Utah Jazz	105	Miami Heat	87
Toronto Raptors	105	Brooklyn Nets	89
Memphis Grizzlies	117	San Antonio Spurs	116
Portland Trail Blazers	104	Milwaukee Bucks	97
Los Angeles Clippers	102	Indiana Pacers	100
Houston Rockets	115	Denver Nuggets	111
Chicago Bulls	103	New York Knicks	97
New Orleans Pelicans	99	Houston Rockets	90
Milwaukee Bucks	108	Sacramento Kings	107
Golden State Warriors	114	Oklahoma City Thunder	109
Utah Jazz	101	Orlando Magic	94
Charlotte Hornets	109	Philadelphia 76ers	91
Boston Celtics	114	Minnesota Timberwolves	98
Cleveland Cavaliers	95	Brooklyn Nets	91
Toronto Raptors	110	Detroit Pistons	100
Washington Wizards	105	Miami Heat	103
Chicago Bulls	103	Memphis Grizzlies	97
Portland Trail Blazers	129	San Antonio Spurs	119
Denver Nuggets	109	Los Angeles Clippers	106
Oklahoma City Thunder	104	Los Angeles Lakers	103
Phoenix Suns	99	New York Knicks	90
Portland Trail Blazers	114	New Orleans Pelicans	88
Charlotte Hornets	104	Utah Jazz	86
Atlanta Hawks	104	Houston Rockets	97
Dallas Mavericks	99	San Antonio Spurs	93
Denver Nuggets	76	Indiana Pacers	73
Los Angeles Clippers	106	Milwaukee Bucks	102
Toronto Raptors	118	New York Knicks	108
Cleveland Cavaliers	105	Memphis Grizzlies	91
Sacramento Kings	108	Los Angeles Lakers	101
Brooklyn Nets	110	Detroit Pistons	105
Miami Heat	100	Boston Celtics	84
Philadelphia 76ers	96	Orlando Magic	88
Phoenix Suns	104	Washington Wizards	92
Indiana Pacers	100	Minnesota Timberwolves	96
New Orleans Pelicans	101	Oklahoma City Thunder	99
Charlotte Hornets	110	Denver Nuggets	82
Chicago Bulls	129	Toronto Raptors	120
Houston Rockets	110	Portland Trail Blazers	95
Utah Jazz	97	Memphis Grizzlies	91
Atlanta Hawks	105	Dallas Mavericks	102
San Antonio Spurs	125	Los Angeles Clippers	118
Golden State Warriors	128	Sacramento Kings	108
Cleveland Cavaliers	125	Minnesota Timberwolves	104
Indiana Pacers	96	New Orleans Pelicans	84
Orlando Magic	100	Boston Celtics	95
Chicago Bulls	99	Washington Wizards	91
Atlanta Hawks	107	Los Angeles Clippers	104
Brooklyn Nets	102	Denver Nuggets	96
Philadelphia 76ers	91	Miami Heat	87
Charlotte Hornets	108	Milwaukee Bucks	101
Portland Trail Blazers	115	Oklahoma City Thunder	111
Phoenix Suns	124	Dallas Mavericks	115
Los Angeles Lakers	115	Golden State Warriors	105
Washington Wizards	102	New York Knicks	91
Oklahoma City Thunder	114	San Antonio Spurs	106
Miami Heat	101	Cleveland Cavaliers	91
Chicago Bulls	113	Los Angeles Lakers	93
Los Angeles Clippers	100	Golden State Warriors	86
Brooklyn Nets	109	Boston Celtics	107
Cleveland Cavaliers	98	Orlando Magic	89
Milwaukee Bucks	107	Atlanta Hawks	77
Detroit Pistons	119	Indiana Pacers	109
Houston Rockets	117	Memphis Grizzlies	111
New Orleans Pelicans	97	San Antonio Spurs	90
Oklahoma City Thunder	98	Charlotte Hornets	75
Dallas Mavericks	102	Los Angeles Lakers	98
Denver Nuggets	106	Minnesota Timberwolves	102
Portland Trail Blazers	114	Philadelphia 76ers	93
Phoenix Suns	115	Sacramento Kings	106
Toronto Raptors	110	Los Angeles Clippers	98
Orlando Magic	102	Charlotte Hornets	94
Washington Wizards	101	Boston Celtics	88
Memphis Grizzlies	103	Miami Heat	95
Chicago Bulls	107	New Orleans Pelicans	100
Indiana Pacers	110	Brooklyn Nets	85
Atlanta Hawks	90	Milwaukee Bucks	85
Utah Jazz	88	Philadelphia 76ers	71
Sacramento Kings	135	New York Knicks	129
Golden State Warriors	110	Minnesota Timberwolves	97
Detroit Pistons	103	Cleveland Cavaliers	80
San Antonio Spurs	110	Houston Rockets	106
Dallas Mavericks	112	Oklahoma City Thunder	107
Portland Trail Blazers	101	New York Knicks	79
Toronto Raptors	116	Denver Nuggets	102
Phoenix Suns	116	Los Angeles Lakers	107
Milwaukee Bucks	104	Charlotte Hornets	94
Chicago Bulls	92	Indiana Pacers	90
Brooklyn Nets	107	Sacramento Kings	99
Orlando Magic	102	Miami Heat	101
Washington Wizards	104	Houston Rockets	103
Los Angeles Clippers	101	Utah Jazz	97
Detroit Pistons	109	Orlando Magic	86
Atlanta Hawks	109	Cleveland Cavaliers	101
Brooklyn Nets	96	Chicago Bulls	82
Memphis Grizzlies	95	San Antonio Spurs	87
New Orleans Pelicans	110	Phoenix Suns	106
Dallas Mavericks	114	Washington Wizards	87
Los Angeles Lakers	111	Denver Nuggets	103
Utah Jazz	100	Minnesota Timberwolves	94
Portland Trail Blazers	102	Toronto Raptors	97
Golden State Warriors	126	Philadelphia 76ers	86
Boston Celtics	106	Sacramento Kings	84
Indiana Pacers	106	Miami Heat	95
Los Angeles Clippers	99	New York Knicks	78
Houston Rockets	102	Charlotte Hornets	83
Milwaukee Bucks	96	Cleveland Cavaliers	80
Oklahoma City Thunder	137	Phoenix Suns	134
San Antonio Spurs	95	New Orleans Pelicans	93
Chicago Bulls	106	Denver Nuggets	101
Sacramento Kings	110	Minnesota Timberwolves	107
Cleveland Cavaliers	91	Charlotte Hornets	87
Brooklyn Nets	100	Orlando Magic	98
Dallas Mavericks	119	Boston Celtics	101
Detroit Pistons	97	New York Knicks	81
New Orleans Pelicans	111	Houston Rockets	83
Oklahoma City Thunder	109	Washington Wizards	102
Indiana Pacers	94	Milwaukee Bucks	91
Phoenix Suns	112	Philadelphia 76ers	96
Atlanta Hawks	98	Utah Jazz	92
Golden State Warriors	126	Toronto Raptors	105
Memphis Grizzlies	109	Los Angeles Lakers	106
Charlotte Hornets	98	Orlando Magic	90
Chicago Bulls	109	Boston Celtics	104
Houston Rockets	115	Miami Heat	79
Utah Jazz	101	Minnesota Timberwolves	89
San Antonio Spurs	101	Washington Wizards	92
Denver Nuggets	114	Memphis Grizzlies	85
Atlanta Hawks	115	Portland Trail Blazers	107
Los Angeles Clippers	127	Philadelphia 76ers	91
Dallas Mavericks	109	Cleveland Cavaliers	90
Detroit Pistons	114	Sacramento Kings	95
Miami Heat	88	Brooklyn Nets	84
Milwaukee Bucks	95	New York Knicks	82
Phoenix Suns	125	Toronto Raptors	109
Los Angeles Lakers	88	Indiana Pacers	87
Philadelphia 76ers	95	Cleveland Cavaliers	92
Charlotte Hornets	104	Boston Celtics	95
Dallas Mavericks	96	Brooklyn Nets	88
Chicago Bulls	114	Houston Rockets	105
Memphis Grizzlies	105	New York Knicks	83
Denver Nuggets	110	Minnesota Timberwolves	101
Washington Wizards	92	New Orleans Pelicans	85
Indiana Pacers	105	Utah Jazz	101
Portland Trail Blazers	98	Los Angeles Lakers	94
Golden State Warriors	117	Oklahoma City Thunder	91
Atlanta Hawks	107	Los Angeles Clippers	98
Phoenix Suns	102	Milwaukee Bucks	96
Detroit Pistons	105	San Antonio Spurs	104
Charlotte Hornets	98	New Orleans Pelicans	94
Houston Rockets	105	Cleveland Cavaliers	93
Milwaukee Bucks	97	Philadelphia 76ers	77
Washington Wizards	101	New York Knicks	91
Atlanta Hawks	96	Memphis Grizzlies	86
Boston Celtics	89	Brooklyn Nets	81
Utah Jazz	97	Chicago Bulls	77
Detroit Pistons	108	Dallas Mavericks	95
Denver Nuggets	93	Orlando Magic	90
Phoenix Suns	113	Minnesota Timberwolves	111
Sacramento Kings	104	Oklahoma City Thunder	83
Golden State Warriors	117	Indiana Pacers	102
Los Angeles Clippers	114	Los Angeles Lakers	89
Charlotte Hornets	103	Toronto Raptors	95
Houston Rockets	120	New York Knicks	96
Portland Trail Blazers	99	Miami Heat	83
Indiana Pacers	107	Boston Celtics	103
Philadelphia 76ers	90	Brooklyn Nets	88
Atlanta Hawks	106	Detroit Pistons	103
New Orleans Pelicans	106	Memphis Grizzlies	95
Oklahoma City Thunder	99	Utah Jazz	94
Washington Wizards	102	Chicago Bulls	86
Milwaukee Bucks	98	Minnesota Timberwolves	84
San Antonio Spurs	100	Phoenix Suns	95
Denver Nuggets	118	Sacramento Kings	108
Golden State Warriors	112	Cleveland Cavaliers	94
Los Angeles Lakers	101	Orlando Magic	84
Charlotte Hornets	110	New York Knicks	82
Los Angeles Clippers	120	Dallas Mavericks	100
Detroit Pistons	98	Brooklyn Nets	93
Philadelphia 76ers	93	Indiana Pacers	92
Toronto Raptors	109	Boston Celtics	96
Chicago Bulls	95	Milwaukee Bucks	87
Houston Rockets	97	Utah Jazz	82
San Antonio Spurs	108	Minnesota Timberwolves	93
Portland Trail Blazers	103	Orlando Magic	92
Atlanta Hawks	120	Washington Wizards	89
Miami Heat	104	Los Angeles Clippers	90
Memphis Grizzlies	122	Phoenix Suns	110
Sacramento Kings	103	Cleveland Cavaliers	84
Portland Trail Blazers	106	Los Angeles Lakers	94
Boston Celtics	108	New Orleans Pelicans	100
Houston Rockets	113	Brooklyn Nets	99
Detroit Pistons	114	Toronto Raptors	111
Orlando Magic	121	Chicago Bulls	114
Minnesota Timberwolves	110	Indiana Pacers	101
Atlanta Hawks	105	Philadelphia 76ers	87
Washington Wizards	101	San Antonio Spurs	93
Phoenix Suns	107	Cleveland Cavaliers	100
Golden State Warriors	116	Utah Jazz	105
Dallas Mavericks	108	Sacramento Kings	104
Miami Heat	78	Los Angeles Lakers	75
San Antonio Spurs	98	Charlotte Hornets	93
Orlando Magic	120	Houston Rockets	113
Memphis Grizzlies	103	Brooklyn Nets	92
New Orleans Pelicans	105	Detroit Pistons	94
Toronto Raptors	100	Philadelphia 76ers	84
Washington Wizards	105	Chicago Bulls	99
Atlanta Hawks	105	Boston Celtics	91
Denver Nuggets	114	Dallas Mavericks	107
Golden State Warriors	104	Miami Heat	89
Los Angeles Clippers	100	Portland Trail Blazers	94
Houston Rockets	112	Oklahoma City Thunder	101
Milwaukee Bucks	95	New York Knicks	79
Cleveland Cavaliers	109	Los Angeles Lakers	102
Detroit Pistons	98	Indiana Pacers	96
Memphis Grizzlies	106	Orlando Magic	96
Philadelphia 76ers	96	New Orleans Pelicans	81
Brooklyn Nets	102	Washington Wizards	80
Chicago Bulls	119	Boston Celtics	103
Atlanta Hawks	110	Toronto Raptors	89
Oklahoma City Thunder	127	Golden State Warriors	115
Dallas Mavericks	97	Denver Nuggets	89
San Antonio Spurs	110	Portland Trail Blazers	96
Phoenix Suns	110	Minnesota Timberwolves	99
Utah Jazz	94	Los Angeles Lakers	85
Miami Heat	95	Sacramento Kings	83
Cleveland Cavaliers	126	Los Angeles Clippers	121
Charlotte Hornets	80	Indiana Pacers	71
Detroit Pistons	107	Philadelphia 76ers	89
Atlanta Hawks	107	Chicago Bulls	99
